1,701 Penn Ave,New Brighton,PA,15066
2,1704 Fourth Ave,Arnold,PA,15068
3,424 GEORGE ST,Braddock,PA,15104
4,704 2ND AVE,Pittsburgh,PA,15219
5,339 Boulevard of the Allies,Pittsburgh,PA,15222
6,3001 Beaver Ave,Pittsburgh,PA,15233
7,535 S AIKEN AVE,Pittsburgh,PA,15370
8,179 PROGRESS DR,Waynesburg,PA,15370
9,301 WASHINGTON ST,Johnstown,PA,15901
10,301 Washington St,Johnstown,PA,15901
11,300 W STATE ST,Sharon,PA,16146
12,137 W 2ND ST,Erie,PA,16507
13,414 W 5th St,Erie,PA,16507
14,1928 WAGER RD,Erie,PA,16509
15,6260 Heverly Blvd,Coalport,PA,16627
16,424 Nye Rd,Hummelstown,PA,17036
17,27 N CAMERON ST,Harrisburg,PA,17101
18,2012 N 4th St,Harrisburg,PA,17102
19,1728 N 2nd St,Harrisburg,PA,17102
20,128 E AZEALA DR,Harrisburg,PA,17110
21,2835 N Front St,Harrisburg,PA,17110
22,3740 Chambers Hill Rd,Harrisburg,PA,17111
23,7201 ALLENTOWN BLVD,Harrisburg,PA,17112
24,381 S 2nd St,Steelton,PA,17113
25,317 W MARKET ST,York,PA,17401
26,200 S Duke St,York,PA,17401
27,3400 Concord Rd,York,PA,17401
28,307 E King St,York,PA,17403
29,900 W 3rd St,Williamsport,PA,17701
30,18336 Rt. 522,Beavertown,PA,17813
31,721 Iron St,Bloomsburg,PA,17815
32,204 S Centre St,Pottsville,PA,17901
33,91 Broad St,Ashland,PA,17921
34,610 Hamilton St,Allentown,PA,18101
35,18 S 6TH ST,Allentown,PA,18101
36,610 Hamilton St,Allentown,PA,18101
37,38 N 4th St,Allentown,PA,18102
38,145 W Broad St,Hazleton,PA,18201
39,240 ADAMS AVE,Scranton,PA,18503
40,539 LINDEN ST,Scranton,PA,18503
41,240 Adams Ave,Scranton,PA,18503
42,409 OLIVE ST,Scranton,PA,18509
43,201 E. 12th St.,Chester,PA,19013
44,2600 SOUTHAMPTON RD,Philadelphia,PA,19116
45,1628 N 15TH ST,Philadelphia,PA,19121
46,1917 W OXFORD ST,Philadelphia,PA,19121
47,407 N 8TH ST,Philadelphia,PA,19123
48,1306 SPRING GARDEN ST,Philadelphia,PA,19123
49,3950 D ST,Philadelphia,PA,19124
50,301 E Erie Ave,Philadelphia,PA,19124
51,600 E LUZERNE ST,Philadelphia,PA,19124
52,3200 HENRY AVE,Philadelphia,PA,19129
53,918 N Broad St,Philadelphia,PA,19130
54,1344 W York St,Philadelphia,NA,19132
55,1007 West Lehigh Avenue,Philadelphia,PA,19133
56,2831 N Hutchinson St,Philadelphia,PA,19133
57,1019 W Lehigh Ave,Philadelphia,PA,19133
58,2100 W Venango St,Philadelphia,PA,19140
59,219 High St,Philadelphia,PA,19144
60,1223 Bainbridge St,Philadelphia,PA,19144
61,1712 Point Breeze Ave,Philadelphia,PA,19145
62,1516 Washington Ave,Philadelphia,PA,19146
63,1030 S Concord Rd,West Chester,PA,19382
64,1287 County Welfare Rd,Leesport,PA,19533
65,163 Main St,Wernersville,PA,19565
66,164 Main St,Wernersville,PA,19565
67,165 Main St,Wernersville,PA,19565
68,417 WALNUT ST,Reading,PA,19601
69,1804 Opportunity Ave,Chambersburg,PA,17201
